= Coverage for C:\Users\dipeck.REDMOND\source\repos\diondrapeck\azure-sdk-for-python\sdk\ml\azure-ai-ml\azure\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                                                                                     |  Status |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| __init__.py (module)                                                                                                     | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\__init__.py (module)                                                                                                  |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\__init__.py (module)                                                                                               |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_azure_environments.py (module)                                                                                    | COVERED |
|   AzureEnvironments (L21)                                                                                                |  MISSED |
|   EndpointURLS (L27)                                                                                                     |  MISSED |
|   CloudArgumentKeys (L36)                                                                                                |  MISSED |
|   _get_cloud (L68)                                                                                                       |  MISSED |
|   _get_default_cloud_name (L81)                                                                                          | COVERED |
|   _get_cloud_details (L86)                                                                                               | COVERED |
|   _set_cloud (L101)                                                                                                      | COVERED |
|   _get_base_url_from_metadata (L116)                                                                                     | COVERED |
|   _get_aml_resource_id_from_metadata (L131)                                                                              | COVERED |
|   _get_active_directory_url_from_metadata (L142)                                                                         | COVERED |
|   _get_storage_endpoint_from_metadata (L153)                                                                             | COVERED |
|   _get_azure_portal_id_from_metadata (L164)                                                                              | COVERED |
|   _get_cloud_information_from_metadata (L175)                                                                            | COVERED |
|   _get_registry_discovery_endpoint_from_metadata (L192)                                                                  | COVERED |
|   _resource_to_scopes (L203)                                                                                             | COVERED |
|   _get_registry_discovery_url (L216)                                                                                     | COVERED |
|   _get_clouds_by_metadata_url (L238)                                                                                     | COVERED |
|   _convert_arm_to_cli (L269)                                                                                             |  MISSED |
|   _add_cloud_to_environments (L294)                                                                                      |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_exception_helper.py (module)                                                                                      |  MISSED |
|   _find_deepest_dictionary (L23)                                                                                         | COVERED |
|   get_entity_type (L35)                                                                                                  | COVERED |
|   format_details_section (L72)                                                                                           | COVERED |
|   format_errors_and_resolutions_sections (L146)                                                                          | COVERED |
|   format_create_validation_error (L198)                                                                                  | COVERED |
|   log_and_raise_error (L269)                                                                                             |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_ml_client.py (module)                                                                                             |  MISSED |
|   MLClient (L110)                                                                                                        | COVERED |
|     MLClient.__init__ (L146)                                                                                             | COVERED |
|     MLClient.from_config (L521)                                                                                          | COVERED |
|     MLClient._ml_client_cli (L616)                                                                                       | COVERED |
|     MLClient.workspaces (L627)                                                                                           | COVERED |
|     MLClient.registries (L637)                                                                                           | COVERED |
|     MLClient._feature_stores (L647)                                                                                      | COVERED |
|     MLClient._feature_sets (L658)                                                                                        | COVERED |
|     MLClient._feature_store_entities (L669)                                                                              | COVERED |
|     MLClient.connections (L679)                                                                                          | COVERED |
|     MLClient.jobs (L688)                                                                                                 | COVERED |
|     MLClient.compute (L697)                                                                                              | COVERED |
|     MLClient.models (L706)                                                                                               | COVERED |
|     MLClient.online_endpoints (L715)                                                                                     | COVERED |
|     MLClient.batch_endpoints (L724)                                                                                      | COVERED |
|     MLClient.online_deployments (L733)                                                                                   | COVERED |
|     MLClient.batch_deployments (L742)                                                                                    | COVERED |
|     MLClient.datastores (L751)                                                                                           | COVERED |
|     MLClient.environments (L760)                                                                                         | COVERED |
|     MLClient.data (L769)                                                                                                 | COVERED |
|     MLClient.components (L778)                                                                                           | COVERED |
|     MLClient.schedules (L787)                                                                                            | COVERED |
|     MLClient.subscription_id (L796)                                                                                      | COVERED |
|     MLClient.resource_group_name (L805)                                                                                  | COVERED |
|     MLClient.workspace_name (L814)                                                                                       | COVERED |
|     MLClient._get_new_client (L822)                                                                                      | COVERED |
|     MLClient._get_workspace_info (L838)                                                                                  |  MISSED |
|     MLClient.create_or_update (L886)                                                                                     | COVERED |
|     MLClient.begin_create_or_update (L918)                                                                               | COVERED |
|     MLClient.__repr__ (L939)                                                                                             |  MISSED |
|   _add_user_agent (L946)                                                                                                 |  MISSED |
|   _create_or_update (L953)                                                                                               |  MISSED |
|   _ (L958)                                                                                                               |  MISSED |
|   _ (L964)                                                                                                               |  MISSED |
|   _ (L970)                                                                                                               |  MISSED |
|   _ (L976)                                                                                                               |  MISSED |
|   _ (L982)                                                                                                               |  MISSED |
|   _ (L988)                                                                                                               |  MISSED |
|   _ (L994)                                                                                                               |  MISSED |
|   _begin_create_or_update (L1000)                                                                                        |  MISSED |
|   _ (L1005)                                                                                                              |  MISSED |
|   _ (L1011)                                                                                                              |  MISSED |
|   _ (L1017)                                                                                                              |  MISSED |
|   _ (L1023)                                                                                                              |  MISSED |
|   _ (L1029)                                                                                                              |  MISSED |
|   _ (L1035)                                                                                                              |  MISSED |
|   _ (L1041)                                                                                                              |  MISSED |
|   _ (L1047)                                                                                                              |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_scope_dependent_operations.py (module)                                                                            |  MISSED |
|   OperationConfig (L16)                                                                                                  | COVERED |
|     OperationConfig.__init__ (L23)                                                                                       |  MISSED |
|     OperationConfig.show_progress (L29)                                                                                  | COVERED |
|     OperationConfig.enable_telemetry (L38)                                                                               | COVERED |
|   OperationScope (L47)                                                                                                   |  MISSED |
|     OperationScope.__init__ (L48)                                                                                        |  MISSED |
|     OperationScope.subscription_id (L61)                                                                                 |  MISSED |
|     OperationScope.resource_group_name (L65)                                                                             |  MISSED |
|     OperationScope.workspace_name (L69)                                                                                  |  MISSED |
|     OperationScope.registry_name (L73)                                                                                   |  MISSED |
|     OperationScope.workspace_name (L77)                                                                                  |  MISSED |
|     OperationScope.registry_name (L81)                                                                                   |  MISSED |
|   _ScopeDependentOperations (L85)                                                                                        |  MISSED |
|     _ScopeDependentOperations.__init__ (L86)                                                                             |  MISSED |
|     _ScopeDependentOperations._workspace_name (L94)                                                                      |  MISSED |
|     _ScopeDependentOperations._registry_name (L98)                                                                       |  MISSED |
|     _ScopeDependentOperations._subscription_id (L102)                                                                    |  MISSED |
|     _ScopeDependentOperations._resource_group_name (L106)                                                                |  MISSED |
|     _ScopeDependentOperations._show_progress (L110)                                                                      |  MISSED |
|     _ScopeDependentOperations._enable_telemetry (L114)                                                                   |  MISSED |
|   OperationsContainer (L118)                                                                                             |  MISSED |
|     OperationsContainer.__init__ (L119)                                                                                  |  MISSED |
|     OperationsContainer.all_operations (L123)                                                                            |  MISSED |
|     OperationsContainer.add (L126)                                                                                       |  MISSED |
|     OperationsContainer.get_operation (L129)                                                                             |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_user_agent.py (module)                                                                                            |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_version.py (module)                                                                                               |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\exceptions.py (module)                                                                                             | COVERED |
|   ValidationErrorType (L17)                                                                                              | COVERED |
|   ErrorCategory (L46)                                                                                                    |  MISSED |
|   ErrorTarget (L52)                                                                                                      |  MISSED |
|   MlException (L93)                                                                                                      | COVERED |
|     MlException.__init__ (L109)                                                                                          |  MISSED |
|     MlException.target (L124)                                                                                            | COVERED |
|     MlException.target (L133)                                                                                            |  MISSED |
|     MlException.no_personal_data_message (L137)                                                                          | COVERED |
|     MlException.no_personal_data_message (L146)                                                                          |  MISSED |
|     MlException.error_category (L150)                                                                                    | COVERED |
|     MlException.error_category (L159)                                                                                    |  MISSED |
|   DeploymentException (L163)                                                                                             | COVERED |
|     DeploymentException.__init__ (L177)                                                                                  |  MISSED |
|   ComponentException (L196)                                                                                              | COVERED |
|     ComponentException.__init__ (L210)                                                                                   |  MISSED |
|   JobException (L229)                                                                                                    | COVERED |
|     JobException.__init__ (L243)                                                                                         |  MISSED |
|   ModelException (L262)                                                                                                  | COVERED |
|     ModelException.__init__ (L276)                                                                                       |  MISSED |
|   AssetException (L295)                                                                                                  | COVERED |
|     AssetException.__init__ (L309)                                                                                       |  MISSED |
|   ScheduleException (L328)                                                                                               | COVERED |
|     ScheduleException.__init__ (L342)                                                                                    |  MISSED |
|   ValidationException (L361)                                                                                             |  MISSED |
|     ValidationException.__init__ (L362)                                                                                  | COVERED |
|     ValidationException.error_type (L405)                                                                                | COVERED |
|     ValidationException.error_type (L414)                                                                                |  MISSED |
|   AssetPathException (L418)                                                                                              | COVERED |
|     AssetPathException.__init__ (L433)                                                                                   |  MISSED |
|   EmptyDirectoryError (L452)                                                                                             | COVERED |
|     EmptyDirectoryError.__init__ (L455)                                                                                  |  MISSED |
|   UserErrorException (L471)                                                                                              | COVERED |
|     UserErrorException.__init__ (L474)                                                                                   |  MISSED |
|   CannotSetAttributeError (L489)                                                                                         | COVERED |
|     CannotSetAttributeError.__init__ (L492)                                                                              |  MISSED |
|   UnsupportedParameterKindError (L500)                                                                                   | COVERED |
|     UnsupportedParameterKindError.__init__ (L503)                                                                        |  MISSED |
|   KeywordError (L509)                                                                                                    | COVERED |
|     KeywordError.__init__ (L512)                                                                                         |  MISSED |
|   UnexpectedKeywordError (L516)                                                                                          | COVERED |
|     UnexpectedKeywordError.__init__ (L519)                                                                               |  MISSED |
|   UnexpectedAttributeError (L525)                                                                                        | COVERED |
|     UnexpectedAttributeError.__init__ (L528)                                                                             |  MISSED |
|   MissingPositionalArgsError (L534)                                                                                      | COVERED |
|     MissingPositionalArgsError.__init__ (L537)                                                                           |  MISSED |
|   TooManyPositionalArgsError (L546)                                                                                      | COVERED |
|     TooManyPositionalArgsError.__init__ (L549)                                                                           |  MISSED |
|   MultipleValueError (L558)                                                                                              | COVERED |
|     MultipleValueError.__init__ (L561)                                                                                   |  MISSED |
|   ParamValueNotExistsError (L566)                                                                                        | COVERED |
|     ParamValueNotExistsError.__init__ (L569)                                                                             |  MISSED |
|   UnsupportedOperationError (L574)                                                                                       | COVERED |
|     UnsupportedOperationError.__init__ (L577)                                                                            |  MISSED |
|   LocalEndpointNotFoundError (L582)                                                                                      | COVERED |
|     LocalEndpointNotFoundError.__init__ (L585)                                                                           |  MISSED |
|   LocalEndpointInFailedStateError (L606)                                                                                 | COVERED |
